;primary_title;original_title;release_year;duration;genres;rating;num_votes;is_romance;nconst_actor;actor;actor_birth_year;nconst_actress;actress;actress_birth_year;actress_age;actor_age;age_gap;actor_age_bin;actress_age_bin
5;Reminiscence;Reminiscence;2021;116;Mystery,Romance,Sci-Fi;5.9;44138.0;TRUE;nm0413168;Hugh Jackman;1968;nm0272581;Rebecca Ferguson;1983;38;53;15;(50.0, 55.0];(35.0, 40.0]
10;Malcolm & Marie;Malcolm & Marie;2021;106;Drama,Romance;6.7;33882.0;TRUE;nm0913475;John David Washington;1984;nm3918035;Zendaya;1996;25;37;12;(35.0, 40.0];(20.0, 25.0]
16;Locked Down;Locked Down;2021;118;Comedy,Crime,Romance;5.2;10823.0;TRUE;nm0252230;Chiwetel Ejiofor;1977;nm0004266;Anne Hathaway;1982;39;44;5;(40.0, 45.0];(35.0, 40.0]
6;In the Heights;In the Heights;2021;143;Drama,Musical,Romance;7.3;40806.0;TRUE;nm6588867;Anthony Ramos;1991;nm6051155;Leslie Grace;1995;26;30;4;(25.0, 30.0];(25.0, 30.0]
9;The Map of Tiny Perfect Things;The Map of Tiny Perfect Things;2021;98;Comedy,Fantasy,Romance;6.8;18978.0;TRUE;nm6563873;Kyle Allen;1994;nm1105980;Kathryn Newton;1997;24;27;3;(25.0, 30.0];(20.0, 25.0]
12;The Kissing Booth 3;The Kissing Booth 3;2021;112;Comedy,Romance;4.7;13988.0;TRUE;nm1525807;Jacob Elordi;1997;nm1428821;Joey King;1999;22;25;3;(20.0, 25.0];(20.0, 25.0]
8;He's All That;He's All That;2021;88;Comedy,Romance;4.3;21651.0;TRUE;nm4120909;Tanner Buchanan;1998;nm11290905;Addison Rae;2000;21;23;2;(20.0, 25.0];(20.0, 25.0]
7;To All the Boys: Always and Forever;To All the Boys: Always and Forever;2021;109;Comedy,Drama,Romance;6.3;22693.0;TRUE;nm3170207;Noah Centineo;1996;nm7093076;Lana Condor;1997;24;25;1;(20.0, 25.0];(20.0, 25.0]
17;The Last Letter from Your Lover;The Last Letter from Your Lover;2021;110;Drama,Romance;6.7;14304.0;TRUE;nm7153679;Joe Alwyn;1991;nm0940362;Shailene Woodley;1991;30;30;0;(25.0, 30.0];(25.0, 30.0]
13;Bliss;Bliss;2021;103;Drama,Romance;5.4;16402.0;TRUE;nm0005562;Owen Wilson;1968;nm0000161;Salma Hayek;1966;55;53;-2;(50.0, 55.0];(50.0, 55.0]
3;The French Dispatch;The French Dispatch;2021;107;Comedy,Drama,Romance;7.3;63765.0;TRUE;nm0001125;Benicio Del Toro;1967;nm0842770;Lea Seydoux;1985;61;54;-7;(50.0, 55.0];(60.0, 65.0]
18;Annette;Annette;2021;141;Drama,Musical,Romance;6.4;15284.0;TRUE;nm3485845;Adam Driver;1983;nm0182839;Marion Cotillard;1975;46;38;-8;(35.0, 40.0];(45.0, 50.0]
0;Good on Paper;Good on Paper;2021;92;Comedy,Romance;5.6;10672.0;TRUE;nm2166469;Ryan Hansen;1981;nm2955597;Iliza Shlesinger;1983;38;;;;(35.0, 40.0]
1;Atrangi Re;Atrangi Re;2021;138;Comedy,Drama,Romance;6.7;18270.0;TRUE;nm1333687;Dhanush;1983;nm9071083;Sara Ali Khan;1995;;38;;(35.0, 40.0];
4;Love Hard;Love Hard;2021;104;Comedy,Romance;6.3;44818.0;TRUE;nm4497202;Jimmy O. Yang;1987;nm2400045;Nina Dobrev;1989;32;;;;(30.0, 35.0]
11;Shiddat;Shiddat;2021;146;Romance;8.0;16530.0;TRUE;nm4113924;Sunny Kaushal;1989;nm9654612;Radhika Madan;1995;;;;;
14;Licorice Pizza;Licorice Pizza;2021;133;Comedy,Drama,Romance;8.0;13261.0;TRUE;nm11866274;Cooper Hoffman;2003;nm6076229;Alana Haim;1991;30;;;;(25.0, 30.0]
19;Meenakshi Sundareshwar;Meenakshi Sundareshwar;2021;140;Comedy,Romance;7.3;16326.0;TRUE;nm9654611;Abhimanyu Dasani;1990;nm7621667;Sanya Malhotra;1992;;;;;
29;On the Rocks;On the Rocks;2020;96;Comedy,Drama,Romance;6.5;29733.0;TRUE;nm0000195;Bill Murray;1950;nm0429069;Rashida Jones;1976;44;70;26;(65.0, 81.0];(40.0, 45.0]
30;The Wrong Missy;The Wrong Missy;2020;90;Comedy,Romance;5.7;37117.0;TRUE;nm0005450;David Spade;1964;nm1944055;Lauren Lapkus;1985;35;56;21;(55.0, 60.0];(30.0, 35.0]
24;Emma.;Emma;2020;124;Comedy,Drama,Romance;6.7;45070.0;TRUE;nm1926865;Johnny Flynn;1983;nm5896355;Anya Taylor-Joy;1996;24;37;13;(35.0, 40.0];(20.0, 25.0]
21;Dil Bechara;Dil Bechara;2020;101;Comedy,Drama,Romance;8.1;126295.0;TRUE;nm3818286;Sushant Singh Rajput;1986;nm4880714;Sanjana Sanghi;1996;24;34;10;(30.0, 35.0];(20.0, 25.0]
32;The Nest;The Nest;2020;107;Drama,Romance;6.3;11938.0;TRUE;nm0000179;Jude Law;1972;nm4689420;Carrie Coon;1981;39;48;9;(45.0, 50.0];(35.0, 40.0]
37;The Secret: Dare to Dream;The Secret: Dare to Dream;2020;107;Drama,Romance;6.5;12594.0;TRUE;nm0524197;Josh Lucas;1971;nm0005017;Katie Holmes;1978;42;49;7;(45.0, 50.0];(40.0, 45.0]
